sentence1,label
শুধু ভয়ঙ্কর জায়গা না করব খাদ্য মাঝারি মানের মূল্য চ রাজা উচ্চ আবর্জনা রেস্টুরেন্টে অভিশাপ,negative
"পিজা খুব চমত্কার, যেমন হোমডেড পাস্তা।",positive
মধ্যাহ্নভোজ আইটেম সুস্বাদু মহান ভালোবাসি,positive
খারাপ আচরণ না পেশাদারী মনোভাব,negative
লক্ষ্য করলাম টেবিল পানের পরিবর্তে নানকে দেখেছিল,negative
গ্রেট খাবার ভাল জায়গা ভাল মূল্য কর্মচারীরাও ভালো,positive
শুধু ভালো স্থান সকল দলের ধন্যবাদ,negative
খাদ্যটির হাড়ের মধ্যে একটি হীরা - খাদ্যটি সুস্বাদু এবং বাড়িতে তৈরী এবং সবজি ও টমেটো সমৃদ্ধ।,positive
মেনু খুব সীমিত - আমি মনে করি আমরা 4 বা 5 এনট্রিস গণনা করি।,negative
"ভাল মানের ওয়াইন নির্বাচন , গিগাডাস মূল্যবান, এবং ঘরের শ্যাম্পেন এর মান ভা",positive
লবস্টার স্যান্ডউইচ $ 24 এবং যদিও এটি ভাল ছিল এটি প্রায় মূল্য ছিল না যে দাম দেওয়া আছে।,negative
"যদিও নিচে বসতে আশা করবেন না, শুধুমাত্র কয়েকটি টেবিল আছে এবং তারা সবসময় পূর্ণ।",negative
"ডাইনিং রুম শান্তভাবে মার্জিত কোন সঙ্গীতের চিৎকার ছিলনা ,কতটা স্বস্তিদায়ক",positive
এক খাবারের ভাগ্যবান স্ট্রাইকের নয়,negative
স্বাক্ষর বিফ এন্ড বেকন বার্গার স্যান্ডউইচ চেষ্টা সম্পূর্ণই পছন্দ বলার ডি পরিবেষ্টনকারী পরিবেশ মহান খাদ্য ভাল,positive
ওহ পরিবারের ছোট,negative
আমি এখানে কয়েকটি খারাপ রিভিউ দেখে আশ্চর্য হলাম - আমি প্রায় 5 বা 6 বার এসেছি এবং সর্বদা অত্যন্ত সন্তুষ্ট হয়ে ফিরে আসার জন্য উন্মুখ ছিলাম।,positive
"আমরা 9pm এ রিজার্ভ পর্যন্ত ছিলাম, কিন্তু 10:15 PM তে পোস্ট করা পর্যন্ত পারি নাই।",negative
চিকেন সালাদ অসাধারণ ডেজার্ট থাকতে ভাল জিনিস ডেজার্ট ফিড প্রশংসা দ্রুত চ্যাটের সময় ব্যয় অকাতরে শোনা মুহুর্তে সেট ব্রিগেডিয়ার জেনারেল মঞ্জুরের কাদের চাচা মালিক ধন্যবাদ সবকিছু নি খাদ্য মেনুতে রিভিউ নিশ্চিতভাবে শীঘ্রই অন্যান্য আইটেম চেষ্টা আউট,positive
কোরিয়ান জামাইকান উপভোগ চমৎকার জায়গা,positive
কৃত্রিম উপায়ে উত্তেজিত রেস্টুরেন্টে খাদ্য স্বাদ ভয়ঙ্কর ওভার রান্না নোনতা পরিবেশ ঠিক,negative
এটি প্রতিটি সময় স্পট আঘাত,positive
"আমার বন্ধুরা এবং আমি আশ্চর্যজনক পনির এবং একটি সুস্বাদু, শিল্পীসংগত,নতুন অভিজ্ঞতা গতকাল রাতে গ্রীষ্ম মেনুতে, ।",positive
বন্ধু জন্মদিন উদযাপন যাচ্ছি সম্পূর্ণভাবে খাদ্য বলছি অনুগ্রহ যাচ্ছি উপভোগ সত্যিই ভালো,positive
"এই জায়গাটির ভাল অভ্যন্তর আছে যা আমি ওয়বারের উত্তরপথের যে কোন স্থানে দেখেছি এবং আপনি যে কাউকে এখানে নিয়ে আসবেন, সেটি প্রভাবিত করবে।",positive
"স্টাফ কিন্তু, আমাদের জন্য ভয়ঙ্কর ছিল।",negative
খারাপ সার্ভিস স্যুপ ক্রিমি,negative
সুস্বাদু খাদ্য পরিমাণ যথেষ্ট মান ভাল টিপ অল্প সময়ের গ্রহণযোগ্য আইটেমটি উদ্ধার,positive
সম্পর্কে অভিজ্ঞতা বলুন শব্দ,positive
এই জায়গাটা আমার ভাললাগে!,positive
জায়গাটি শান্ত এবং আনন্দদায়ক ছিল।,positive
"তাই এটি এখন একটি খুব আকর্ষণীয় স্থান,Toons সম্প্রতি redone হয়েছে,।",positive
"রাস্তায় মাথা তাদের সাক বার বার হবে,যদি আপনি Haru এর মহান খাদ্য চান, বিশেষ করে হাউস রোল জন্য ক্ষুধা করছেন, কিন্তু অপেক্ষা বিল্ডিং outisde দাঁড়ানো যাবে না,",positive
পাতলা ডোসা ধরনের সামান্য ঘন সবসময় ভ্যাঙ্কুভার ভারতীয় রেস্তোরায় সকল আঁট জায়গা না কাপড় চমৎকার ভালো খাবার ভালোবাসি,negative
খাবারটা যথেষ্ট স্বাস্থ্যকর হয়েছে তাছাড়া পরিবেশ লোকেশন দুইটাই আরামদায়ক,positive
"সাংহাইতে আমার জীবনের বেশিরভাগ সময়ই ছিল, এবং ভাবা হয়েছিল যে এই খাবারটি গ্রীন বো রেস্তোরাঁর মতই তুলনীয় ছিল",positive
"স্বাভাবিক বারের খাবারের চেয়ে অনেক বেশি, তাদের হাত দিয়ে পরিবেশিত মেনুটি উপভোগের জন্য সেখানে যান।",positive
"বিস্ময়কর, এই ক্ষুদ্র উইলিয়ামসবার্গ স্পট সবসময় pleasantly ।",positive
স্থানটি সম্ভাব্য ধর্ষক ইভ টিজাররা হোস্ট,negative
খাবারগুলো ইয়াম্মিইইইই ইচ্ছে প্রতিদিন খাই,positive
"আমি এই পছন্দের জায়গা সম্পর্কে জানি, আসন্ন গেস্ট ছেড়ে দিতে,এই জিনিস আমার টেবিলে চাপা বা চাপ অনুভূত যেন না হয়।",positive
অন্যান্য রেস্টুরেন্ট দামের তুলনায় খাবারের পরিমাণ সত্যিই কম খাবারের মানও ভালনা এসি বন্ধ খাবারের মান সম্পর্কে অভিযোগ করেছি ব্যাখ্যা দুঃখিত বললনা রিকমেন্ডেড না,negative
দূর থেকে গ্রাহকদের-এটি একটি পিছনে ঘর করা উচিত,negative
"আমার স্বামী এবং আমি আমাদের বিবাহ বার্ষিকীর জন্য Jekyll এবং হাইড পাব যেতে হবে, এবং আমাদের বিস্ময় এটি চমত্কার ছিল।",positive
ওয়েল ডেকোরেশন বন্ধু সুস্বাদু খাদ্য সেবন উপযুক্ত জায়গা,negative
কিন্তু এই জায়গাটি সুগন্ধযুক্ত মদ তৈরীর কৃত্রিম উপায় যা তারা জানেন যে তারা কী করছে।,positive
খাদ্য পছন্দ ধৃষ্টতা ভাল রেস্টুরেন্ট ওভার ঢাকা বিশেষভাবে মালিবাগ শান্তিনগর এলাকা এক,positive
গুলশানে ২ খাওয়ার গিয়েছিলাম প্রতিটি অনুষ্ঠানে পুরোপুরি খুশি হয়েছি সুন্দর পরিবেশ ওয়েটাররাও বন্ধুত্বপূর্ণ পরিষ্কার টেবিল সুস্বাদু খাবার বেশি বিস্তারিত না থাকলে ডিশ সবসময় দেয়া ফলক মাশরুম স্যুপ কোরিয়ান চিকেন আইটেম খেয়ে কখনই হতাশ না,positive
আমার পরিবার সম্পূর্ণ ভয়াবহ ছিল।,negative
"আমরা পনের বছর ধরে নিউ ইয়র্কের কাছাকাছি শেফ লাইলের খাবার অনুসরণ করে থাকি এবং ক্লাসিক থাকাকালীন, তার উদ্ভাবন আমাদের ফিরে আসতে বাধ্য করেছে।",positive
পরিবেশ খাদ্য সেবা মহান,positive
"($ 200 শ্যাম্পেন 2 গ্লাস জন্য, ওয়াইন খুব ব্যয়বহুল বোতল না এবং 2 ডিনার পানীয় পরে)।",negative
এটা চুরি,positive
খাদ্য পরিবেশিত স্যুপ দীর্ঘ অপেক্ষার নেন এমনকি থাই স্যুপ সুস্বাদু না মাছ স্টেক কমই লাল সামুদ্রিক মত্স্যবিশেষ মাছ ছোট অংশ দেখুন,negative
এরচেয়ে খারাপ অভিজ্ঞতা হয়নি অর্থ নষ্ট না সকলকে অনুরোধ জানাচ্ছি,negative
"উপরন্তু, খাদ্য খুব ভাল এবং দাম যুক্তিসঙ্গত।",positive
Suan একটি সুপারিশ করেছিল যে আমি আনন্দিত ও আমরা heeded।,positive
সবচেয়ে আরামদায়ক জায়গা চিরদিনের সাধরণ বিশেষভাবে,positive
আপনি কি মনে করেন যে কখনও মন দিয়ে কারো সঙ্গে কোন কথোপকথন করতে পারেন।,negative
"মহান tasted আদেশ ছিল,আমার বন্ধু তাদের বিশেষ সুশি রোলসের কিছু চমৎকার উপস্থাপনা দিল",positive
"চমৎকার জাজ দ্বারা এই রেস্তোরাঁয় খাদ্যের গুণগতমান সম্পন্ন করে ,এই জায়গাটি নিখুঁত করে তোলে !",positive
আমার সবসময় একটি সুস্বাদু খাবার আছে যা সবসময় সন্তুষ্ট অনুভূতি ছড়ায়,positive
অপুর্ব খাবার সেরা সেবা চমৎকার ডেকোরেশন সামগ্রিকভাবে উপভোগ চমৎকার জায়গা,positive
মুরগির পনির বার্গার নিয়মিত ফরাসি ফ্রাই ভালবাসা,positive
ফাটাফাটি অসাধারণ জোস,positive
"আমি সুপারিশ করলাম যে, রসুনের চিংড়ি, ওকরা (বিন্ডি) এবং মেষশাবকের জন্য ।",positive
এই শহরে চেন্নাই গার্ডেন আমার প্রিয় ভারতীয় রেস্টুরেন্ট।,positive
আমি সুপারিশ করবো লাভা পিষ্টক ডেজার্ট অবিশ্বাস্য ছিল,positive
কালা ভুনা মোড়ানো মত স্থান পরিষ্কার অবস্থান সুবিধাজনক কর্মীদের আরো সমন্বয় অপরের গ্রাহকদের সাথে ভাল যোগাযোগ শুভকামনা,negative
"সামান্য জায়গা চতুর অভ্যন্তর সজ্জা,সাশ্রয়ী মূল্যের শহরের দাম আছে",positive
এটা এত জোরে এমনকি আপনি আপনার পাশের ব্যক্তির সাথে কথা বলতে পারবেন না।,negative
আমি 4 গ্লাস জল পান করতে পারি এবং এখনও শুকিয়ে গেছি - তাই সতর্ক থাকুন।,negative
একেবারে ভালবাসা খাদ্য তাজা সুস্বাদু সম্ভবত সেরা এক খুঁজে মুহূর্তে ঢাকায় জায়গা খায়,positive
লেবু ছাড়া ক্লাব সোডা বরফে ভরাট লেবু ছাড়া,negative
চমৎকার খাবার খাদ্য মান এফএনএফ সেবা ডি সস্তা দাম ওয়াই দারুন জায়গা ভাল সামগ্রিক রেটিং সর্বোত্তম সেবা ভাল শ্রেষ্ঠ খাবার,positive
জ্যামাইকান চিকেন সময় সময় পরিদর্শন,positive
ভাল কারণে আমরা Montparnasse অনেক বার হয়েছি,positive
"প্রকৃত চেহারা তুলনায় ভাল ছিল,তার ওয়েব সাইটে রেস্টুরেন্টের ফটোগুলি ।",negative
"একে শ্রেষ্ঠ জায়গা ধরা দ্বারা হয়, হার্টল্যান্ড ব্রয়াসসজ্জা NYC নতুন বন্ধুদের তৈরি।",positive
"বিশেষত কুলারি, ভরাট পাস্তা মুন্স ও এন্টি পেটা চমৎকার ছিল।",positive
সিঙ্গাপুরেমাই ফ্যানের কৌতুক না,negative
ভালোবাসি খাদ্য চমৎকার পরিবেশ মুখ খাদ্য স্বাদ জলসেচন,positive
আমি এটা অত্যন্ত সুপারিশ করছিলাম,positive
খারাপ আচরণ খারাপ ম্যানেজমেন্ট সিস্টেম খারাপ কখনো অভিজ্ঞতা,negative
পনির ভাল পরের বাড়ির,negative
সবজি দিয়ে সবুজ কাঁটার চেষ্টা করুন,positive
পরিবেশ খাবারের স্বাদ অসাধারণ চাই,positive
চমত্কার ভাল সব।,positive
হট ডগ মাঝখানে ঠান্ডা ছিল এবং পোঁদ বদ্ধ ছিল,negative
"এটি একটি স্থানআমি এই এলাকায় থাকাকালীন আবার বন্ধ করে দেবো,যে কোনও ঘটনার ক্ষেত্রে,",positive
শহরের সেরা মুরগি মুরগীর মাংস ভালবাসেন খেয়ে,positive
"আপনি ভুল করতে পারেন না যে,$ 5 এর জন্য 5 টি ডাম্পলিং।",positive
খারাপ মুরগির ফ্রাই পরিমাণ যথেষ্ট না,negative
খাদ্য টেস্ট খুবই খারাপ খাদ্য ছোট রেস্তোরায় শরীরের ব্যপারে ভালো কথা অভিনব নাম খ মানুষ ভাল শব্দ সবচেয়ে খারাপ খাদ্য পরিবেশন বিল টাকা,negative
খাদ্য চমৎকার আচরণ,positive
স্বাদহীন খাবার বাজে সার্ভিস পরিদর্শন না,negative
কম =তাদের ক্ষেত্রে এটা আরো ।,positive
জি সুন্দর সত্যিই ভালো সত্যিই খারাপ সার্ভিস শিল্প রাষ্ট্র,negative
আমার চটকানো সেরা জিনিস ছিল ভেড়ার বাচ্চা।,positive
"প্রথম বন্ধ, ওয়েট্রেস সম্পূর্ণভাবে অযৌক্তিক ছিল 2 বার আমরা তাকে দেখেছি (6 টেবিল সঙ্গে একটি রেস্টুরেন্ট মধ্যে অদ্ভুত) এবং আমাদের অর্ডার ভুল পেয়েছিলাম",negative
চমৎকার খাদ্য ভাল গ্রাহক সেবা,positive
"এটি আশ্চর্যজনক ছিল,আমরা পামে বিশেষ ভাজা মাছ ছিল।",positive
প্রথমবার ডেকোরেশন পরিবেশ পছন্দনীয় খাবারের স্বাদটা গ্রেট বন্ধু পরিবারের সাথে যাওয়ার সুপারিশ করব,positive
সন্ত্রস্ত মানুষের চমত্কার সেবা শুধু ভালো গুণ ব্যয় শিথিল,positive
ভালো খাবার সাথে সৌভাগ্য পরিবেশ পছন্দ করছি এগিয়ে,positive
কেবলমাত্র পিজা নিশ্চিত খেয়ে ওয়ানা,positive
"বিশেষ করে চিকেন টিক্কা এবং নান, এবং ডালস পছন্দ।",positive
ওয়েট্রেস ওয়াইনের চশমাটি খুব ভালভাবে খাদ্যে ও চলাচলের পরামর্শ দিয়েছে,positive
আমি 5 বছর NY জন্য বসবাস করেছি এবং এই জায়গাটিতে আমার এটি সব আছে।,positive
"আমি তোমাকে ভালোবাসি, যখন তারা তাদের খাদ্যের অর্ডার আপনার দিতে বলেছে তারা বললো পাল্টা সব ব্যবসা হতে পারে। আমি তোমাকে ভালোবাসি, যখন তারা তাদের খাদ্যের অর্ডার আপনার দিতে বলেছে তারা বললো পাল্টা সব ব্যবসা হতে পারে।",positive
দর্শন লগ আচরণ সার্ভিসিং আরামদায়ক খাদ্য মান ভাল দর্শন লগ খুশি নিশ্চিত জায়গা আসবে আবির ভাল,positive
"সব হিপ বা ঘটছে না,সজ্জা সত্যিই blah.",negative
জায়গা ছোট খাদ্য আপ চিহ্ন না,negative
খারাপ খাদ্য সবচেয়ে জনপ্রিয় চাল বাটি,negative
খারাপ অভিজ্ঞতা এক খাদ্যের মত ঘন্টা অপেক্ষা করছিল আগত খাদ্য গরম না মানে মানুষ গরম পুরীতে অর্ডার আধা ঘন্টার অপেক্ষা করছিল কথা বিশ্বাস করুন বলি সময় পুরাতন পেয়েছি মানুষ মানে সত্যিই পুরানো ডেকোরেশন ীণ ভাল ভাল বেশী অনন্য ধারণা অবশ্যই বলবো না খাবার ভাল ঠান্ডা অনুমান পেয়েছিলাম স্বাদ ঠিক,negative
20 ডলার দিয়ে আপনি সব খেতে পারেন এজন্য সুশির ক্ষতি হবে না।,positive
গড়ে আপনার ব্যাগেল স্থান থেকে একটু বেশি ব্যয়বহু,negative
বাংলাদেশ সবচেয়ে খারাপ চীনা রেঁস্তোরা এমনকি মরিচ গরুর মাংস সহজ ফ্রাইড রাইস রান্না কিভাবে জানি না দূরে থাকুন সত্যি আবর্জনা টাকা ব্যয় না,negative
সত্যিই লোকেদের যোগাযোগ পছন্দ সত্যিই অনুষ্ঠান হোস্টিং যোগ্য বিশ্বাস এমনকি খাদ্য গুণমান স্বাদ আশ্চর্যজনক সম্পূর্ণরূপে সাথে সন্তুষ্ট আপ রাখুন বড় মত,positive
রেস্টুরেন্টটিতে বিরাট শোরগোল হয় কিন্তু তার পরও এটি এমন কিছু বিষয় যা আপনি বসতে এবং একটি দুর্দান্ত খাবার উপভোগ করতে পারেন,positive
ডিস্ট্রিবিউটের খাবারের দাম কমেছে ...,negative
চমতকার সেবা দারুন খাবার,positive
মারে এটা করবেন না,negative
"সেখানে কোন পরিবেশ ছিল না,সেবা ছিল অনুপযুক্ত,এবং খাদ্যটি ছিল গড়ের নিচে।",negative
আমার ভালবাসা সত্য তাই পিজার স্বাদ ভাল এবং সস্তা।,positive
খাদ্য সন্ত্রস্ত আচরণ ভালো পেট খুশি পরন্তু চমৎকার জায়গা,positive
তোমরা অসাধারণ.,positive
"গ্রেট খাদ্য (স্পাইনাস এবং ভুট্টা ডাম্পলিং এবং মাসুমান কারি), খুব বন্ধুত্বপূর্ণ এবং কোন নোংরা পরিষেবা এবং একটি পরিষ্কার বাথরুম।",positive
সত্যিই ভাল জায়গা তুলনাহীন আচরণ এছাড়াও আতিথেয়তা খাদ্য খাদ্য সত্যিই মজা যুক্তিসঙ্গত জায়গা দম্পতিরা বন্ধু পরিবারের সবচেয়ে ভাল অভ্যন্তর নকশা সুন্দর সবকিছু খুঁজছেন,positive
খাবারটা অসাধারণ ছিলো.,positive
"এই সুপারিশ মহান সেবা জন্য,অত্যন্ত চমৎকার সুশি।",positive
শহরে সেরা মুরগী সার্ভ সেবা খাবার খুশী,positive
ক্যাপ্টেন কুক ভাল কামনা বজায়,positive
গ্রেট খাদ্য আরামদায়ক বায়ুমণ্ডল স্বাস্থ্যকর খাবার বন্ধু পরিবারের লোকজন জমায়েত মহান,positive
শুধু সন্ত্রস্ত জায়গা খাদ্য স্বাদ গুণমান ভাল দ্রুততর সেবা সামগ্রিক,positive
"মসলাযুক্ত খাবারের জাতিগত একটি ফ্যান হচ্ছে, ভারতীয় অন্তর্ভুক্ত, আমি অনেক আগে এই জায়গায় বন্ধুতব তৈরি করেছি।",positive
"এটি মহান হবে,আমার বিশ্বাস, এবং এটি সব সময় নিখোঁজ করা হবে।",positive
মনকি পাস্তা এখানে সুস্বাদু (নিউ ইয়র্ক পিজা রেস্টুরেন্ট মধ্যে একটি বিরলতা)।,positive
রেস্তোরাঁ পরিবেশ ভাল খাদ্য সবচেয়ে গুরুত্বপূর্ণ রেস্টুরেন্টে নামিয়ে দিল গরুর মাংস স্টেক রান্না আলু ভর্তা ভয়ঙ্কর তৈরি বমন মাশরুম মত পাশাপাশি নি মহিষ উইংস স্বাদে ইঙ্গিতও প্লেটার একমাত্র ভালো জি সুন্দর চিংড়ি সালাদ আনারস রস উপায় দানাদার সত্যিই উন্নত প্রয়োজন,negative
"সমস্ত তরুণ NYU ছাত্ররা এই জায়গাটি ভালোবাসে, যাতে এটি একটি মজার বায়ুমণ্ডল তৈরি করে তোলে।",positive
"আমি আবারও এখানে আসার পরিকল্পনা করছি এবং ব্রুসচেটো, প্যানিনি এর তাদের ভাণ্ডারের চেষ্টা করার জন্য অপেক্ষা করছি .....",positive
"রাগ একটি রোমান্টিক, আরামদায়ক রেস্টুরেন্ট।",positive
"স্বাগত জানাই,আমরা আনন্দিতভাবে",positive
"কোন পোষাক কোড, কোন মনোভাব, সান্ত্বনা সহনীয়তা প্রচুর, একটি সর্বদা ব্যস্ত মিডটাউন মধ্যে ব্যস্ত একটি মহান জায়গা।",positive
"যদিও,বায়ুমণ্ডল মহান, তবুও আপনি একটি ছুটির দিন বিকেলে একটি সস্তা উপায় দিয়ে একটি নিরপরাধ দৃশ্য খুঁজছেন।",positive
শীর্ষ খাঁজ সেবা,positive
"যেহেতু খাদ্য খুব স্বাদযুক্ত এবং সুস্বাদু ছিল,তাই এটি বিভিন্ন অভিনব প্লেটের উপর এসেছিল ।",positive
স্পেস খুবই ছোট টেক্সাস টর্নেডো ভয়াবহ আদেশ সময়ে স্বাদ আদেশ সামান্য লবণ মরিচ চাইলেন লবণ না চিহ্ন না দাবনা স্টেক মাঝারি রান্না ঠিক টাইপ এমনকি ড্রিংক সেবা ভুলে গেছি সার্বিক পছন্দ করেননি,negative
লালবাগ ভালবাসা দা খাবার চমৎকার জায়গা,positive
প্রথমবারের সাজসজ্জা বাতাবরণ খাদ্য মহান লীঢ় স্পষ্টভাবে বন্ধু পরিবারের সুপারিশ,positive
অর্ডার ওয়েটার বলেছিল খাবার সেবা,negative
খাবার তেজী তৈলাক্ত ও ছিল,negative
একটি ক্রমবর্ধমান ভাল জায়গা লঞ্চ বা ডিনার জন্য খাওয়া ।,positive
"ডিনার এবং পানীয় থাকায়,আমি অত্যন্ত সুপারিশ করলাম এই রেস্টুরেন্ট পরিদর্শন করে",positive
খাবার সত্যিই ভাল প্রচুর খাবার অর্ডার দিয়েছিলাম জিনিস উপভোগ করেছি প্রিয় মাশরুম স্যুপ সুপরিচিত জামাইকান গ্রিলের তুলনায় ভাল স্বাদ স্মোকি নমনীয় রসিক স্বাদ স্বাদ কুঁড়িগুলির সাথে পুরোপুরি মিলে যায় যথোপযুক্ত গরম মশাল পরিবারের সাথে চমৎকার সময় কাটল,positive
বিশেষ কফি ভালো লেগেছে মুহূর্তের ব্যয় প্রেম প্লেস নিস অভ্যন্তরীণ নকশা শুধু রেঁস্তোরা প্রতিটি আইটেম ডিসকাউন্ট পাবেন,positive
"কোন তুলনা আছে,স্পষ্টভাবে, যখন আপনি তুলনা আপনি লাঞ্চ, বনাম McDs বা শহরের অন্যান্য স্যান্ডউইচ দোকান জন্য এখানে থাকতে পারে কি।",positive
দুঃখিত খারাপ অভিজ্ঞতা খাদ্য ঠান্ডা বিরক্তিজনক কখনো যাচ্ছেন,negative
তার প্রতিবেশীদের জন্য খুব তুলনীয় মানের অত্যধিক খাদ্য যা উপরে মাথা এবং কাঁধ পূর্ব 6 সেন্টের (overdraising) বালুচিসের জন্য।,positive
এই রেস্টুরেন্ট বেশ সুন্দর হতে ব্যবহৃত।,negative
"এটি একটি নিখুঁত জায়গা কারন, এখনে amanzing ভারতীয় খাবার আছে ।",positive
সার্ভিস খাদ্য উভয় সত্যিই ভালো আবশ্যক রেটিং,positive
পর্যালোচনা পরিষেবা ওয়েটার সুমিত খাদ্য চমৎকার অভিজ্ঞতা গুলশান,positive
"স্থানটি সর্বাধিক চেয়ে কম বলে মঞ্জুরিপ্রাপ্ত, এটি এমনকি বৃহত্তম রেস্টুরেন্টে এমনকি আপনি পাবেন সেরা পরিষেবা।স্থানটি সর্বাধিক চেয়ে কম বলে মঞ্জুরিপ্রাপ্ত, এটি এমনকি বৃহত্তম রেস্টুরেন্টে এমনকি আপনি পাবেন সেরা পরিষেবা।",positive
স্বাদহীন খাদ্য খারাপ সেবা,negative
জঘন্য খাবারের টষ্টে জঘন্য টাকা পানিতে ফেললাম,negative
খারাপ সার্ভিসটি খারাপ খাদ্য দাম বেশী হে হে হে,negative
"অবিলম্বে আমরা মূল্য পরিশোধ করার পর, ওয়েটার টাকা নিয়ে গেল এবং বলল, ঠিক আছে, আপনার এখানে থাকতে পারেন।",negative
উপভোগ করুন,positive
খাবারটা ঠিক এককথায় লুট যেসব খাবার অর্ডার করেনি বিল ধরিয়ে দেয়া হয়েছে খুবই হতাশ,negative
এই নতুন প্রিয় জায়গা সম্ভবত আমার,positive
এই মূল্যে সুশিতে দর্শনীয় কিছু ছিল না।,negative
শেষবার খেয়েছিলাম খাবার খারাপ একজন নিয়মিত গ্রাহক ছিলাম ধীরে ধীরে খাবারের মান আস্তে আস্তে কমে হতাশ গিয়েছি,negative
উইশ ০ স্টার পারতাম কম্বো পিজাটা সবচেয়ে খারাপ জঘন্য,negative
ঠিক একটু পর্যালোচনা দেরী জাহান্নাম গিয়েছিলাম ডান খুলে বন্ধু পৃথক খাবারের আদেশ বন্ধুদের পাস্তা আদেশ এমনকি কামড় পূর্ণ পুলিন্দা ওয়েটার মুহূর্তে সরঞ্জাম বাকি স্টাফ খাদ্য পারিনি এমনকি পাস্তা খেয়ে বাড়িতে শেষে পাস্তা এমনকি কামড় খাচ্ছি না টাকা হতো তোলে দৃষ্টিকোণ খুবই হতাশাজনক অভিজ্ঞতা,negative
রেস্টুরেন্টে ঠিক সাজসজ্জা শালীন সিঁড়ি সম্পূর্ণভাবে অনিরাপদ মেনু সংক্রান্ত ত্রুটিগুলি অতিরিক্ত পক্ষের অর্ডার পারবেন না ঠান্ডা ড্রিঙ্কস অভাব সবাই স্টেক রস পান না জানি ক্ষুদ্র জলের বোতল সকল বস্তু স্বাদ অত্যন্ত তিক্ত পেতে নীরব অন্যান্য মিনারেল ওয়াটার ব্রান্ডের পেতে যেহেতু পানি রস চাই না শুধু বিকল্প দেখুন এছাড়াও অতিরিক্ত আসা টুকরা সম্পূর্ণ লেবু চিকেন প্লেটার অর্ডার মেনু অত্যন্ত অসুবিধাজনক প্লেটার ঠিক সজ্জিত নান্দনিকভাবে আনন্দদায়ক লাগছিল শুধুমাত্র শালীন পক্ষের চাল কিছুটা ঠিক ভর্তা আলু মাশরুম চিহ্ন না জায়গা প্রত্যাশা হতাশ,negative
সেবা অবিশ্বাস্য এবংগ্রেট ভারতীয় খাদ্য ।,positive
